,mean,variance,skew
ctime,24.907662558019414,4.564130597924639e-10,0.44643165444775895
mtime,24.907662558019414,4.564130597924639e-10,0.44643165444775895
pbc,3.0,0.0,0.0
energy,-43.83055615337924,828.2173746635433,-1.82312631696719
free_energy,-43.30655609524326,800.6177845943913,-1.7974495856042432
magmom,1.1281433911821421,5.94974464008198,3.3533221553284287
natoms,8.750369713102632,24.4241680088313,1.4875494532113072
fmax,0.007136126273566835,6.69717562690004e-06,0.9278199297398203
smax,0.0003211026987463417,3.0453715325412656e-07,3.0921525502907516
volume,744.8377202363878,343574.2314916841,1.4684385806311375
mass,579.2058340786074,167604.40642768322,2.9623816757761583
charge,0.0,0.0,0.0
A,-0.45670369079893947,55.00316132133576,-15.371633000477141
E_B,0.990415121759797,0.4417791674462039,1.4561920472364127
J,10.80469316860241,4285.053092445667,-9.52992331830418
N_nn,4.723021582733813,3.3249616134430586,0.07428050447535171
P_spontaneous_norm,284.4219635541986,49562.6562349691,0.7750520026277062
alphax,278.1812164933186,58064851.71244887,42.31416573655342
alphax_el,33.770155256198365,18436.85966322797,17.680866219106722
alphax_lat,270.12201208089414,57949216.33221792,42.42607819468041
alphay,41.24795035007685,162120.77000812755,18.0044321918044
alphay_el,27.93370835318872,9157.862426891212,19.379033738711836
alphay_lat,35.5961354109494,153360.73765642644,18.114261529512742
alphaz,0.47813083191581496,0.028115268810403864,1.621041989564897
alphaz_el,0.6148941879749868,0.975623592805233,15.249721574801827
alphaz_lat,0.05512370760861292,0.005589190586361909,4.890363561554535
cbm,-4.294020065197402,1.5356510365420608,0.13378128091169408
cbm_gw,-3.8179491267816803,1.352650817417379,0.3820559800991899
cbm_hse,-3.9061769720611945,1.5214890396354162,0.19010292166148451
cod_id,4227460.248717949,10219301154264.576,0.5816193574793809
dE_zx,0.026054785125624664,17.477907903874218,-13.575426282300413
dE_zy,0.016231196929605493,18.463848535970616,-9.98420878558298
efermi,-4.9719361737354655,1.0582761132493081,-0.15551121715823366
efermi_gw,-5.277351584161235,1.0658320466781324,0.1486257445973964
efermi_hse,-5.156689740571285,1.0164453991215503,-0.4277238550406795
ehull,0.22548575434230836,0.05040050480540847,2.0641618590115995
evac,3.1877364533542183,1.8187889374270279,0.9316272005629697
gap,0.8030762918313843,1.529805894744924,1.9387038210472511
gap_dir,0.8557151419879356,1.5936903027200662,1.825119494361405
gap_dir_gw,3.344134527331737,4.329984415478444,1.2862155023937554
gap_dir_hse,2.658482833713436,2.7551115732271123,0.968125415540707
gap_dir_nosoc,0.9040503385367005,1.7028123495846206,1.6985469759581053
gap_gw,3.101039528971075,4.436516185041832,1.3979853213458444
gap_hse,2.5334875634323817,2.8325285872422064,1.0036144280988784
halfmetal_gap,0.5022178311628142,1.0526179852041702,2.4168319849253703
halfmetal_gap_dir,0.5393776538498616,1.1521201495642897,2.260015529233877
halfmetal_gap_dir_hse,3.435583840220384,2.700923319285242,-0.18548948499792764
halfmetal_gap_hse,3.2971303678209796,2.4935087516511016,-0.16259111024542083
has_inversion_symmetry,0.4920437740313517,0.24993669846833572,0.031831758308194964
hform,-0.6431698945613158,0.4696411296736355,-0.9453971273938022
icsd_id,228722.5889423077,53219094751.33824,0.8944739152643844
is_ferroelectric,1.0,0.0,0.0
is_magnetic,0.2058011049723757,0.1634470101645249,1.4556519094616684
lam,-0.03990726435130647,12.902856768352368,4.847535352301673
lgnum,41.70068027210884,747.8526733023881,-0.1091646665912355
minhessianeig,-1.092514765096898,11.710170015503277,-7.05920826438
number,80.36095829636203,4926.509638123372,0.22979707220936382
plasmafrequency_x,4.3160167609495925,13.92052654618522,0.5729744018348139
plasmafrequency_y,5.008611205729052,16.79820828896394,0.3821027142301504
spin,1.1223021582733812,0.4304858271656057,0.6772443826617668
thickness,5.1948779351136976,7.001575820119571,1.3004622221454947
vbm,-5.823404119318736,1.3590943819429617,-0.5632761320374746
vbm_gw,-6.918988655752755,3.0584257546025437,-0.46712202825997984
vbm_hse,-6.439664535493577,1.915502197348429,-0.6378661357058557
C,0.39297452752670503,1.9579374956535354,5.369014588461556
H,0.5307107641741988,2.535211327188981,4.057011405715724
N,0.3207682826622843,1.1404314557565416,5.686588072157752
O,1.7094289235825801,8.023312903123985,1.8279686613238253
S,1.9630238290879212,8.233842294419846,1.96150355142912
a,4.87199782722987,2.5768199010067656,1.7656986885728092
b,5.621071749235841,5.562587961148612,1.7203738495246175
c,25.921793155092516,66.85052317759714,0.5100103322012383
alpha,90.0,1.3224304623034188e-29,0.0
beta,90.0,1.1005918562964227e-28,0.0
gamma,103.54800563861573,239.87845631686312,-0.1204375058351259
volume_cell,744.8377202363878,343574.2314916841,1.4684385806311375
density_amu_per_A3,0.9876300806653269,0.31893770719960757,1.3850456969509044
cn_mean,5.3676767056898145,4.57482261799042,0.7980744641156317
n_atoms,8.750369713102632,24.4241680088313,1.4875494532113072
